Job Title,Company,Job Type,Location,Salary,Job Description
ACE Configurator,Examworks Ltd,Full Time,"Crewe, NW",,"Assembly Operatives Needed
Hoddesdon, Hertfordshire 
Full and part-time available.  Current full time shift due to the pandemic - 6.00am - 2.00pm and 2.30pm - 10.00pm.
Our client is recognised globally as a leading manufacturer of exterior lighting equipment. With a rich heritage of skills and expertise, their company is powered by people with a shared passion for light, committed to delivering outstanding service to its customers.
They’re seeking like-minded, driven, hard-working Assembly Operatives for their factories in Hertfordshire.
Full-time hours are 39/week Monday – Friday with a salary of £9.00 - £11.00 per hour dependent on experience.
Part time hours are 20/week Monday/Thursday.
Please state in your application which shift you are applying for.
What you will do:
•Use hand tools, drills, riveters, screwdrivers etc;
•Work as part of a small team or work alone;
•Adhere to safety guidelines and standards.
Previous experience is desirable.
If you’re self-motivated, enthusiastic and hard-working, this is the job for you!
Please apply with your CV ASAP stating which shift you are applying for - (applications cannot be considered without a CV.)
By clicking ‘apply’ you will be taken to the Recruiterwise portal, where you can apply directly to the client."
Delivery Manager (Fixed Term until 31st December 2021),Hermes,,"Leeds, Yorkshire",,"We have an exciting opportunity for Delivery Manager (contractually known as Community Delivery Manager) to join us to manage our Bradford/Leeds delivery region on a fixed term basis until 31st December 2021!Our patch mainly covers West Yorkshire and you'd be aligned to one of our Delivery Units (that's where couriers go to collect your parcels). So if you live in Bradford, Halifax, Harrogate, Huddersfield, Leeds, or Skipton then read on...Why join our Field Delivery Team?As a business, Hermes is driven by our four values of; Do the right thing, Dare to be different, Strive for more and Be customer obsessed. It’s because of these values that we are the UK’s leading consumer delivery service handling over 600 million parcels per year and still growing and our delivery teams help drive that growth.Because of this, sometimes our self-employed Couriers need a little assistance and that’s where our Delivery Managers come in. You’ll be part and parcel in solving problems for our customers before they become real issues. It’s an old cliché but no two days are the same which makes for an exciting and fast paced working environment bringing you both challenge and reward in equal measure.What you’ll do:Act as a point of contact for when our self-employed Couriers have issues or need help and guidance. Think of it as part problem solver and part community hero, keeping our self-employed Couriers motivated and safe.Ensure that all work has been allocated and picked up by our self-employed Couriers and where this may not be the case, find solutions to ensure that our customers’ delivery is achieved. Review data to ensure our self-employed Couriers are performing and are on track and where relevant, step in to check if there are any issues and offer appropriate solutions to ensure customer satisfaction.You will be responsible for the engagement of self-employed Couriers working out of a number of delivery units within a set geographical area. You will be the face of recruitment for your delivery units, ensuring you have full coverage for your area and ensuring that self-employed Couriers are welcomed and enjoy a great induction experience.Submit reports and data to continually improve the service we offer.You will be accountable for cost management and budgeting.Monitoring and driving improvement across a number of performance measures including speed of service, standard/next day delivery, collections, C2C, claims/enquiries and end of life to ensure customer and client satisfaction.Essential skills and experience required:A full UK car driving licence with less than 6 penalty points as you'll drive between sites across your region (up to 1 hour drive approx. from Normanton).The ability to deal with people and conflict, you will need to be able to think on your feet and come up with solutions to problems. You'll be able to influence and negotiate.You must be highly organised and efficient in being able to prioritise and manage sometimes conflicting problems as they arise.A good geographical knowledge of the local area that you will be responsible for.You will be required to work on a weekend on a rotation basis (usually 1 in 2 with days off in lieu) and must also be available to deal with any major problems/issues outside of the usual 9-5 as and when they arise. You'll set your own hours to manage the workloads of your delivery unit/area.You will already have previous experience of managing a field based team across multiple sites including, coaching and interviewing/recruiting people. Proficient with Microsoft Office Software such as Word, Outlook, Teams, Excel, PowerPoint etc.Desirable skills and experience required:Experience gained within the parcel, supply chain, FMCG or logistics industry isn’t essential, but it would sure help, but we welcome applications from anyone who has worked within a ‘Field’ based role where you have managed large teams across multiple sites/locations. What we can offer you: We can offer you a competitive salary, bonus, company car, 26 days annual leave plus bank holidays, 3% contribution into your pension, life assurance and income protection. On top of this, we offer a great range of flexible benefits that aim to provide something for everyone, so whether you want shopping vouchers, insurance or healthcare we’ve got you covered.This role offers fantastic opportunities for you to climb the career ladder into managerial roles within both the function and wider business. At Hermes, we don’t just accept difference — we celebrate it, we support it, we thrive on it and are proud to be an equal opportunities employer.Apply Today!If you are ready to develop your career in an empowering, growing yet supportive business then why not join us? Clicking apply is the first step to ‘Being the Me in Hermes’!"
Business Critical Support Engineer,Smarsh,,,,"We have an exciting opportunity for Delivery Manager (contractually known as Community Delivery Manager) to join us to manage our Bradford/Leeds delivery region on a fixed term basis until 31st December 2021!Our patch mainly covers West Yorkshire and you'd be aligned to one of our Delivery Units (that's where couriers go to collect your parcels). So if you live in Bradford, Halifax, Harrogate, Huddersfield, Leeds, or Skipton then read on...Why join our Field Delivery Team?As a business, Hermes is driven by our four values of; Do the right thing, Dare to be different, Strive for more and Be customer obsessed. It’s because of these values that we are the UK’s leading consumer delivery service handling over 600 million parcels per year and still growing and our delivery teams help drive that growth.Because of this, sometimes our self-employed Couriers need a little assistance and that’s where our Delivery Managers come in. You’ll be part and parcel in solving problems for our customers before they become real issues. It’s an old cliché but no two days are the same which makes for an exciting and fast paced working environment bringing you both challenge and reward in equal measure.What you’ll do:Act as a point of contact for when our self-employed Couriers have issues or need help and guidance. Think of it as part problem solver and part community hero, keeping our self-employed Couriers motivated and safe.Ensure that all work has been allocated and picked up by our self-employed Couriers and where this may not be the case, find solutions to ensure that our customers’ delivery is achieved. Review data to ensure our self-employed Couriers are performing and are on track and where relevant, step in to check if there are any issues and offer appropriate solutions to ensure customer satisfaction.You will be responsible for the engagement of self-employed Couriers working out of a number of delivery units within a set geographical area. You will be the face of recruitment for your delivery units, ensuring you have full coverage for your area and ensuring that self-employed Couriers are welcomed and enjoy a great induction experience.Submit reports and data to continually improve the service we offer.You will be accountable for cost management and budgeting.Monitoring and driving improvement across a number of performance measures including speed of service, standard/next day delivery, collections, C2C, claims/enquiries and end of life to ensure customer and client satisfaction.Essential skills and experience required:A full UK car driving licence with less than 6 penalty points as you'll drive between sites across your region (up to 1 hour drive approx. from Normanton).The ability to deal with people and conflict, you will need to be able to think on your feet and come up with solutions to problems. You'll be able to influence and negotiate.You must be highly organised and efficient in being able to prioritise and manage sometimes conflicting problems as they arise.A good geographical knowledge of the local area that you will be responsible for.You will be required to work on a weekend on a rotation basis (usually 1 in 2 with days off in lieu) and must also be available to deal with any major problems/issues outside of the usual 9-5 as and when they arise. You'll set your own hours to manage the workloads of your delivery unit/area.You will already have previous experience of managing a field based team across multiple sites including, coaching and interviewing/recruiting people. Proficient with Microsoft Office Software such as Word, Outlook, Teams, Excel, PowerPoint etc.Desirable skills and experience required:Experience gained within the parcel, supply chain, FMCG or logistics industry isn’t essential, but it would sure help, but we welcome applications from anyone who has worked within a ‘Field’ based role where you have managed large teams across multiple sites/locations. What we can offer you: We can offer you a competitive salary, bonus, company car, 26 days annual leave plus bank holidays, 3% contribution into your pension, life assurance and income protection. On top of this, we offer a great range of flexible benefits that aim to provide something for everyone, so whether you want shopping vouchers, insurance or healthcare we’ve got you covered.This role offers fantastic opportunities for you to climb the career ladder into managerial roles within both the function and wider business. At Hermes, we don’t just accept difference — we celebrate it, we support it, we thrive on it and are proud to be an equal opportunities employer.Apply Today!If you are ready to develop your career in an empowering, growing yet supportive business then why not join us? Clicking apply is the first step to ‘Being the Me in Hermes’!"
Junior UX Designer,SEARCHABILITY,Full Time,"Barton-Upon-Humber, MID",,"Exciting new role within a vibrant company in East Yorkshire!
Looking for an exciting new role?
Office easily accessible, with great transport links from Hull, Doncaster, York, Selby, Wakefield and surrounding areas...
Junior UX Designer role within a large company that specialise in online retailing
To apply please call 07889 558 606 or email jonny.clarke@searchability.co.uk for further information

We are one of the UKs leading retailers! We have been in business since the 1990s. We are extremely excited to announce our immediate plans to expand our talented design team and are on the lookout for a Senior UX Designer! Our office is easily accessible from all transport links! Are you looking to further your career in a well-known retail company? Get in touch today!

WHO ARE WE?

We are a UK based company nestled in East Yorkshire with great transport links from Hull, Doncaster, York, Selby, Wakefield and surrounding areas. With a team in excess of 250 members, we are delighted to announce a vacancy for a dedicated, innovative individual to join our ranks. The successful candidate will have knowledge of Sketch and Abobe XD and the ability to create wireframes and prototypes. You will also need to be an excellent communicator and have effective time management skills, in order to meet the tight deadlines, we work to.

WHAT WILL YOU BE DOING?

As a Junior UX Designer, you will be responsible for creating appealing visual content for both web and mobile. To promote our offers, you will also be creating web banners. You also use your creative flair to produce homepage, category, email, social media and landing page designs. You will also get to work on the UX/UI of our Web and mobile apps! This role would be perfect from a graphic designer looking to get into UX or perhaps a graduate who can show some UX work in their portfolio. 
Sketch / Adobe Creative Cloud / Adobe XD / Wireframing
Able to work with a Adobe CC
A keen eye for detail with a creative flair!
Work as part of a team 
Have a great portfolio! 

TO BE CONSIDERED...

Please either apply by clicking online or emailing me directly to jonny.clarke@searchability.co.uk . For further information please call me on 07889 558 606. I can make myself available outside of normal working hours to suit from 7am until 10pm. If unavailable please leave a message and either myself or one of my colleagues will respond. By applying for this role you give express consent for us to process & submit (subject to required skills) your application to our client in conjunction with this vacancy only. Also feel free to follow me on Twitter @SearchableJonny or connect with me on LinkedIn, just search Jonny Clarke, Searchability in Google! I look forward to hearing from you.

KEY SKILLS:

Sketch / Adobe Creative Cloud / Adobe XD / Wireframing / Figma"
Head Of Property UK - with International Travel- German Speaking,Merkur Casino Holdings UK Limited,Full Time,"-, England",,"Exciting new role within a vibrant company in East Yorkshire!
Looking for an exciting new role?
Office easily accessible, with great transport links from Hull, Doncaster, York, Selby, Wakefield and surrounding areas...
Junior UX Designer role within a large company that specialise in online retailing
To apply please call 07889 558 606 or email jonny.clarke@searchability.co.uk for further information

We are one of the UKs leading retailers! We have been in business since the 1990s. We are extremely excited to announce our immediate plans to expand our talented design team and are on the lookout for a Senior UX Designer! Our office is easily accessible from all transport links! Are you looking to further your career in a well-known retail company? Get in touch today!

WHO ARE WE?

We are a UK based company nestled in East Yorkshire with great transport links from Hull, Doncaster, York, Selby, Wakefield and surrounding areas. With a team in excess of 250 members, we are delighted to announce a vacancy for a dedicated, innovative individual to join our ranks. The successful candidate will have knowledge of Sketch and Abobe XD and the ability to create wireframes and prototypes. You will also need to be an excellent communicator and have effective time management skills, in order to meet the tight deadlines, we work to.

WHAT WILL YOU BE DOING?

As a Junior UX Designer, you will be responsible for creating appealing visual content for both web and mobile. To promote our offers, you will also be creating web banners. You also use your creative flair to produce homepage, category, email, social media and landing page designs. You will also get to work on the UX/UI of our Web and mobile apps! This role would be perfect from a graphic designer looking to get into UX or perhaps a graduate who can show some UX work in their portfolio. 
Sketch / Adobe Creative Cloud / Adobe XD / Wireframing
Able to work with a Adobe CC
A keen eye for detail with a creative flair!
Work as part of a team 
Have a great portfolio! 

TO BE CONSIDERED...

Please either apply by clicking online or emailing me directly to jonny.clarke@searchability.co.uk . For further information please call me on 07889 558 606. I can make myself available outside of normal working hours to suit from 7am until 10pm. If unavailable please leave a message and either myself or one of my colleagues will respond. By applying for this role you give express consent for us to process & submit (subject to required skills) your application to our client in conjunction with this vacancy only. Also feel free to follow me on Twitter @SearchableJonny or connect with me on LinkedIn, just search Jonny Clarke, Searchability in Google! I look forward to hearing from you.

KEY SKILLS:

Sketch / Adobe Creative Cloud / Adobe XD / Wireframing / Figma"
HR/Payroll Administrator,Extra Personnel,Contractor,"Telford, MID",£20k - £20k Per Year,"HR/Payroll Administrator

We are recruiting for HR/Payroll Administrator to work for a manufacturing company based in Telford, Stafford Park. 

Position is temporary ongoing and we are looking for a candidate who is available immediately.

As HR Administrator you will need to have:
Excellent attention to detail
Excellent excel skills 
Accurate data entry skills
Experience of working in similar role
Must be able to multi task
Good level of education

Details of HR/Payroll Administrator:
£9.62 and hour
Working Hours are 8:30am - 5pm
Location: Stafford Park/Telford
Immediate Starts
Temporary assignment

Role of HR/Payroll Administrator:
Provide support to all HR team as appropriate
Supporting Payroll department 
Responsible for production of reports as when required
Ensure the relevant HR database is up to date, accurate and complies with legislation
Maintain sickness records/timekeeping
Administer HR-related documentation
General Admin duties

Standard Benefits of HR/Payroll Administrator:
Canteen with vending machines
Lockers
Secure Car Park
Weekly pay
Provided uniform
Pension Scheme
Employed Status
Personal Accident Insurance 
Mortgage references
If you are interested in the above position please click apply

Extra Personnel do NOT charge any fees for our services.

Extra Personnel Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers."
Sales Support,Fastenal Europe,Contractor,Todmorden,,"HR/Payroll Administrator

We are recruiting for HR/Payroll Administrator to work for a manufacturing company based in Telford, Stafford Park. 

Position is temporary ongoing and we are looking for a candidate who is available immediately.

As HR Administrator you will need to have:
Excellent attention to detail
Excellent excel skills 
Accurate data entry skills
Experience of working in similar role
Must be able to multi task
Good level of education

Details of HR/Payroll Administrator:
£9.62 and hour
Working Hours are 8:30am - 5pm
Location: Stafford Park/Telford
Immediate Starts
Temporary assignment

Role of HR/Payroll Administrator:
Provide support to all HR team as appropriate
Supporting Payroll department 
Responsible for production of reports as when required
Ensure the relevant HR database is up to date, accurate and complies with legislation
Maintain sickness records/timekeeping
Administer HR-related documentation
General Admin duties

Standard Benefits of HR/Payroll Administrator:
Canteen with vending machines
Lockers
Secure Car Park
Weekly pay
Provided uniform
Pension Scheme
Employed Status
Personal Accident Insurance 
Mortgage references
If you are interested in the above position please click apply

Extra Personnel do NOT charge any fees for our services.

Extra Personnel Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers."
Delivery Driver - Newcastle under Lyme,NewsTeam Group Ltd,Part Time,"Newcastle under Lyme, MID",,"Newspaper Delivery Driver – £245 per week – Newcastle under Lyme
We are currently looking for an Early Morning Newspaper Delivery driver in the above area. Immediate start available.
About the role
This is a permanent, part-time contract - ideal if you’re looking to earn some extra money while leaving time for other commitments during the day.
You will be delivering newspapers to households on a pre-designated route.

Requirements
To join our team as an early morning delivery driver you need to:
Be available to work 7 mornings per week between 3.00am and 6.00am
Own your own car or small van (with reasonable running costs)
Own a smartphone (android or iPhone)
Live locally to the area above
 Rewards and Benefits
Delivery drivers are paid drop rates based on the number of deliveries they carry out each morning.
Career progression is available within the group to supervisory and managerial positions.
This is an excellent opportunity for early risers wanting to earn some extra money.
 We’re a fast growing, nationwide newspaper and magazine delivery company; providing a professional and reliable daily delivery service to approximately 60,000 households throughout the UK.

If you think the job’s for you, apply today!"
Guest Services Manager,Kew Green Hotels,Part Time,"Runcorn, NW",,"Newspaper Delivery Driver – £245 per week – Newcastle under Lyme
We are currently looking for an Early Morning Newspaper Delivery driver in the above area. Immediate start available.
About the role
This is a permanent, part-time contract - ideal if you’re looking to earn some extra money while leaving time for other commitments during the day.
You will be delivering newspapers to households on a pre-designated route.

Requirements
To join our team as an early morning delivery driver you need to:
Be available to work 7 mornings per week between 3.00am and 6.00am
Own your own car or small van (with reasonable running costs)
Own a smartphone (android or iPhone)
Live locally to the area above
 Rewards and Benefits
Delivery drivers are paid drop rates based on the number of deliveries they carry out each morning.
Career progression is available within the group to supervisory and managerial positions.
This is an excellent opportunity for early risers wanting to earn some extra money.
 We’re a fast growing, nationwide newspaper and magazine delivery company; providing a professional and reliable daily delivery service to approximately 60,000 households throughout the UK.

If you think the job’s for you, apply today!"
7.5 tonne driver - Buckley,Gi Group,Contractor,"Buckley, WA",£9 - £13.5 Per Hour,"Gi Group are currently recruiting for there builders merchant company in Buckley.
Our client is looking for a 7.5tonne driver on a on going temporary basis.

Pay and Hours:
£9 p/h
£13.50 after 8 hours
8 hour minimum
730AM start
Monday - Friday

Requirements:
Class C1 / 7.5tonne
1+ Years experience
Valid CPC and DIGI
No more than 6 Points for MINOR offences

How To Apply...

Apply online now or call Maisie now at GI Group Warrington on 01925 653 300 for more information.

Drivers & logistics professionals wanted for temporary & permanent vacancies text ""DRIVER"" before your name, location and driving licence category to 88802

Gi Group Holdings Recruitment Limited group of companies includes Gi Recruitment Limited, Draefern Limited, Gi Group Recruitment Ltd, INTOO (UK) Limited, Marks Sattin (UK) Limited, TACK TMI UK Limited and Grafton Professional Staffing Limited. We are committed to protecting the privacy of all of our candidates and clients. Following some recent changes to data protection laws we have updated our Privacy Policy. To view a copy and to help you understand how we collect, use and process your personal data please visit the Privacy page on our Gi Group UK website. "
Visual Merchandiser,Primark,Contractor,Utrecht,,"Gi Group are currently recruiting for there builders merchant company in Buckley.
Our client is looking for a 7.5tonne driver on a on going temporary basis.

Pay and Hours:
£9 p/h
£13.50 after 8 hours
8 hour minimum
730AM start
Monday - Friday

Requirements:
Class C1 / 7.5tonne
1+ Years experience
Valid CPC and DIGI
No more than 6 Points for MINOR offences

How To Apply...

Apply online now or call Maisie now at GI Group Warrington on 01925 653 300 for more information.

Drivers & logistics professionals wanted for temporary & permanent vacancies text ""DRIVER"" before your name, location and driving licence category to 88802

Gi Group Holdings Recruitment Limited group of companies includes Gi Recruitment Limited, Draefern Limited, Gi Group Recruitment Ltd, INTOO (UK) Limited, Marks Sattin (UK) Limited, TACK TMI UK Limited and Grafton Professional Staffing Limited. We are committed to protecting the privacy of all of our candidates and clients. Following some recent changes to data protection laws we have updated our Privacy Policy. To view a copy and to help you understand how we collect, use and process your personal data please visit the Privacy page on our Gi Group UK website. "
Bar and Waiting Team Member - McMullens,McMullen and Sons Ltd,,Biggleswade,,"If your ambition is to build a career in a long established, successful family run business, where guests come first and quality is paramount, come and join us as a Bar %26amp; Waiting Team Member. We’re independent, so believe in investing in the future and we love home-grown talent. We treat all our people like part of the family – you’ll be respected, trained, coached and encouraged to grow in confidence, to achieve more than you thought you were capable of.

Bar and Waiting Team Member

So, if you’re as passionate as we are about delivering attentive, full table service and would enjoy helping to create a memorable family dining experience then you could be our next Bar %26amp; Waiting Team Member at Chicken %26amp; Grill pubs, an important part of the McMullen’s family. We can offer you…
Achievable bonus scheme
A share of gratuities
50% discounted meals when you are working
25% discount on food and 15% on drinks for you and your friends on your day off
Enhanced rate of pay for working on key Bank Holidays
Fantastic training and career development through McMullen’s GROW Programme if you wish to progress
A valued position in a progressive Company who treat people as a name, not a number
We also offer industry-relevant Apprenticeships if you would like to develop your skills further, so you can earn while you learn

Key Responsibilities of a Bar %26amp; Waiting Team Member
Deliver outstanding guest service at all times
Serving drinks and food to our guests in a warm and friendly manner
Assist in setting up and closing down the bar/floor areas ready for service or the next trading session
Maintain the standards of the business keeping all areas clean and tidy"
Final Release Inspector,Elevation Recruitment,,"Sheffield, Yorkshire",£18.5k - £20k Per Year,"If your ambition is to build a career in a long established, successful family run business, where guests come first and quality is paramount, come and join us as a Bar %26amp; Waiting Team Member. We’re independent, so believe in investing in the future and we love home-grown talent. We treat all our people like part of the family – you’ll be respected, trained, coached and encouraged to grow in confidence, to achieve more than you thought you were capable of.

Bar and Waiting Team Member

So, if you’re as passionate as we are about delivering attentive, full table service and would enjoy helping to create a memorable family dining experience then you could be our next Bar %26amp; Waiting Team Member at Chicken %26amp; Grill pubs, an important part of the McMullen’s family. We can offer you…
Achievable bonus scheme
A share of gratuities
50% discounted meals when you are working
25% discount on food and 15% on drinks for you and your friends on your day off
Enhanced rate of pay for working on key Bank Holidays
Fantastic training and career development through McMullen’s GROW Programme if you wish to progress
A valued position in a progressive Company who treat people as a name, not a number
We also offer industry-relevant Apprenticeships if you would like to develop your skills further, so you can earn while you learn

Key Responsibilities of a Bar %26amp; Waiting Team Member
Deliver outstanding guest service at all times
Serving drinks and food to our guests in a warm and friendly manner
Assist in setting up and closing down the bar/floor areas ready for service or the next trading session
Maintain the standards of the business keeping all areas clean and tidy"
Food & Beverage Assistant Manager,Almarose,,"Glasgow, Scotland",," Job Ref:  ALM1528
 Branch:  DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort 
 Location:  DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort, Glasgow
 Salary/Benefits:  to £22k
 Contract type:  Permanent
 Hours:  Full Time
 Shift pattern:  5 over 7
 Hours per week:  40
 Posted date:  13/04/2021
 Closing date:  14/05/2021


Are you passionate about food and providing an outstanding customer experience?
Do you thrive in a fast-paced role where 2 days are never the same?
 As Food & Beverage Assistant Manager, you will support the F&B Manager with the day to day running of the F&B outlets across the hotel. Supervising the service of food, wine and other beverages and providing guests with a great experience.
  What will I do?
Preparation of the F&B outlets for service, following company standards and procedures
Knowledgeable about food & drink content to be able to advise guests when they are placing orders
Provide a friendly, courteous and discreet service
Supervision of food, wine & beverages
Ensure staffing levels to accommodate requirements
Deal with any issues and complaints which may arise
Support with stock taking, ordering and maintenance of equipment
Deputise for F&B Manager in their absence
  Is this the role for me?
Previous experience in an F&B role, Meetings & Events, Banqueting, etc.
Relevant qualifications in either food service management, hospitality management
Supervisory/Management experience
Up to date knowledge of F&B trends and best practice
Good knowledge of wines & spirits
Passionate about good quality food and providing an outstanding guest experience
  Why Almarose Hotels & Resorts?
Discounts across retail, restaurants, events etc.
Family and Friends discounts in hotels across the Almarose 
Free onsite parking
Progression and career development opportunities across the UK, with training and support with course fees
Pension Scheme
Access to an Employee Assistance Programme, 24/7, 365 days a year.
 Who are Almarose Hotels & Resorts?
Almarose Hotels are an independent Hotel Management company who own and operate an award-winning portfolio of 21 4*properties throughout the UK. It's an exciting time to join our portfolio; our strategy is to develop and invest in our properties and employees, with opportunities that span across beautiful countryside and bustling city centre locations – each offering a truly unique experience for our guests, and exemplary professional development and careers for you.
 The Armed Forces Covenant  is a voluntary statement of mutual support between a civilian community and its local Armed Forces Community. It is intended to complement the Armed Forces Covenant, which outlines the moral obligation between the Nation, the Government and the Armed Forces.  Almarose Hotels & Resorts Ltd proudly support the UK Armed Forces and have signed the Armed Forces Covenant achieving the Silver Award.
 "
Clinical Sales Associate - Liverpool,Intuitive,,"Liverpool, England",," Job Ref:  ALM1528
 Branch:  DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort 
 Location:  DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort, Glasgow
 Salary/Benefits:  to £22k
 Contract type:  Permanent
 Hours:  Full Time
 Shift pattern:  5 over 7
 Hours per week:  40
 Posted date:  13/04/2021
 Closing date:  14/05/2021


Are you passionate about food and providing an outstanding customer experience?
Do you thrive in a fast-paced role where 2 days are never the same?
 As Food & Beverage Assistant Manager, you will support the F&B Manager with the day to day running of the F&B outlets across the hotel. Supervising the service of food, wine and other beverages and providing guests with a great experience.
  What will I do?
Preparation of the F&B outlets for service, following company standards and procedures
Knowledgeable about food & drink content to be able to advise guests when they are placing orders
Provide a friendly, courteous and discreet service
Supervision of food, wine & beverages
Ensure staffing levels to accommodate requirements
Deal with any issues and complaints which may arise
Support with stock taking, ordering and maintenance of equipment
Deputise for F&B Manager in their absence
  Is this the role for me?
Previous experience in an F&B role, Meetings & Events, Banqueting, etc.
Relevant qualifications in either food service management, hospitality management
Supervisory/Management experience
Up to date knowledge of F&B trends and best practice
Good knowledge of wines & spirits
Passionate about good quality food and providing an outstanding guest experience
  Why Almarose Hotels & Resorts?
Discounts across retail, restaurants, events etc.
Family and Friends discounts in hotels across the Almarose 
Free onsite parking
Progression and career development opportunities across the UK, with training and support with course fees
Pension Scheme
Access to an Employee Assistance Programme, 24/7, 365 days a year.
 Who are Almarose Hotels & Resorts?
Almarose Hotels are an independent Hotel Management company who own and operate an award-winning portfolio of 21 4*properties throughout the UK. It's an exciting time to join our portfolio; our strategy is to develop and invest in our properties and employees, with opportunities that span across beautiful countryside and bustling city centre locations – each offering a truly unique experience for our guests, and exemplary professional development and careers for you.
 The Armed Forces Covenant  is a voluntary statement of mutual support between a civilian community and its local Armed Forces Community. It is intended to complement the Armed Forces Covenant, which outlines the moral obligation between the Nation, the Government and the Armed Forces.  Almarose Hotels & Resorts Ltd proudly support the UK Armed Forces and have signed the Armed Forces Covenant achieving the Silver Award.
 "
Sales Development Representative - Germany,Tenable,,"Staines upon Thames, Surrey",,"Your Role:

The Sales Development Representative supports a remote sales team and is responsible for generating new business via inbound and outbound phone opportunity qualification.
 Your Opportunity:
Perform outbound calling to generate new sales opportunities and pipeline
Follow-up on inbound sales inquiries to generate new sales opportunities and pipeline
Schedule meetings and demos for sales Territory Managers after proper lead qualification
Promote Tenable events and webinars for the region
Research target accounts for outbound call campaigns
Manage and update the company’s contact and account databases as it relates to the respective region
Make 50+ calls per day to inbound and outbound sales prospects
Generate at a minimum 7 new meetings / demos per week
Performs other related duties as assigned
What you'll need:
German Fluency
1-3 years of experience in sales or similar client support role
Ability to multi-task and manage multiple priorities in a fast-paced environment
Outstanding oral and written communication skills
Must be detail oriented and capable of accurate work with minimal supervision
And Ideally:
Computer proficiency – experience using Salesforce.com or other Customer Relationship Management (CRM) tools
Bachelor’s degree
If you’ve reached this point in the job description and feel you’re still not sure if you should apply…Just do it! We know there are no perfect applicants. You may not have 100% of all those bullets listed above - and that’s okay. If you’re feeling like you’re not going to fit in with our teams - that’s not ok. We're One Tenable which means however you identify and whatever background you bring with you, we encourage you to submit an application if it’s a role you can be passionate about doing every day.

We’re committed to promoting Equal Employment Opportunity (EEO) at Tenable - through all equal employment opportunity laws and regulations at the international, federal, state and local levels."
Sales Assistants,CeX,,"Washington, TT",£6.61 - £8.96 Per Hour,"Your Role:

The Sales Development Representative supports a remote sales team and is responsible for generating new business via inbound and outbound phone opportunity qualification.
 Your Opportunity:
Perform outbound calling to generate new sales opportunities and pipeline
Follow-up on inbound sales inquiries to generate new sales opportunities and pipeline
Schedule meetings and demos for sales Territory Managers after proper lead qualification
Promote Tenable events and webinars for the region
Research target accounts for outbound call campaigns
Manage and update the company’s contact and account databases as it relates to the respective region
Make 50+ calls per day to inbound and outbound sales prospects
Generate at a minimum 7 new meetings / demos per week
Performs other related duties as assigned
What you'll need:
German Fluency
1-3 years of experience in sales or similar client support role
Ability to multi-task and manage multiple priorities in a fast-paced environment
Outstanding oral and written communication skills
Must be detail oriented and capable of accurate work with minimal supervision
And Ideally:
Computer proficiency – experience using Salesforce.com or other Customer Relationship Management (CRM) tools
Bachelor’s degree
If you’ve reached this point in the job description and feel you’re still not sure if you should apply…Just do it! We know there are no perfect applicants. You may not have 100% of all those bullets listed above - and that’s okay. If you’re feeling like you’re not going to fit in with our teams - that’s not ok. We're One Tenable which means however you identify and whatever background you bring with you, we encourage you to submit an application if it’s a role you can be passionate about doing every day.

We’re committed to promoting Equal Employment Opportunity (EEO) at Tenable - through all equal employment opportunity laws and regulations at the international, federal, state and local levels."
